T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
259046, -43, 75, -16, -98840, 128870, -253400
259066, -41, 51, -9, -68460, 142380, -263060
259086, -42, 39, -3, -42770, 155890, -266280
259106, -39, 41, -2, -24010, 167370, -264320
259126, -43, 77, -8, -12040, 176820, -256060
259146, -53, 284, -42, -8820, 186060, -235830
259166, -68, 785, -165, -32410, 200200, -179130
259186, -152, 858, -260, -162960, 241360, -9380
259206, -207, 835, -340, -401310, 318430, 270340
259226, -160, 617, -278, -551040, 347130, 416850
259246, -139, 396, -149, -408310, 306390, 306110
259266, -137, 369, -97, -15750, 225540, -1680
259286, -157, 911, -117, 236880, 149100, -244440
259306, -94, 1504, -246, 227570, 86870, -335930
259326, -94, 1574, -503, -84140, 51380, -264880
259346, -113, 1303, -569, -522760, 116550, 19390
259366, -152, 1236, -427, -586880, 246960, 303100
259386, -239, 1761, -312, -135940, 335020, 326410
259406, -160, 1997, -401, 327670, 288470, 76720
259426, -31, 1997, -912, 148540, 111090, -203140
259446, -114, 1997, -948, -484260, 64470, -144060
259466, -265, 1997, -511, -485730, 279860, 232610
259486, -200, 1997, -365, 153160, 431760, 346220
259506, -5, 1997, -653, 206920, 241220, -33180
259526, -53, 1394, -588, -330120, 34020, -318920
259546, -129, 840, -293, -428540, 159040, -115640
259566, -147, 383, -77, -90160, 383810, 182350
259586, -146, 350, -31, 116970, 471100, 262430
259606, -179, 647, -59, 119420, 433020, 179760
259626, -145, 1080, -233, 55650, 333270, 21630
259646, -61, 1391, -426, -12320, 185570, -215600
259666, -62, 1219, -383, -34160, 106890, -170730
259686, -143, 814, -210, 90650, 379050, 133140
259706, -163, 605, -134, 71330, 448770, 268240
259726, -153, 531, -111, 43190, 410410, 206080
259746, -132, 525, -109, 72940, 313810, 28140
259766, -113, 616, -139, 145390, 219030, -147350
259786, -83, 702, -154, 192010, 169120, -220010
259806, -66, 586, -114, 169750, 171080, -166320
259826, -66, 384, -68, 95060, 200060, -46200
259846, -64, 236, -37, 19180, 219870, 49980
259866, -64, 195, -37, -23660, 219030, 88410
259886, -74, 255, -67, -32970, 208180, 89040
259906, -80, 348, -104, -4620, 197470, 69020
259926, -92, 444, -119, 66360, 189840, 34790
259946, -104, 608, -132, 159740, 182910, -3290
259966, -115, 764, -127, 216300, 167930, -31500
259986, -105, 683, -93, 179130, 139230, -40250
260006, -81, 443, -65, 54880, 98840, -35140
260026, -66, 321, -63, -56490, 59010, -35210
260046, -54, 243, -64, -93450, 30870, -46270
260066, -53, 296, -96, -65940, 17290, -61530
260086, -70, 569, -178, 3430, 17850, -72590
260106, -95, 827, -201, 110250, 36820, -64400
260126, -125, 965, -163, 208320, 66220, -25340
